sentiment,text,predicted,correct
negative,the new  callofduty for ps5 is fire fire fire fire oh god loudly_crying_face smiling_face_with_heart eyes,positive,False
positive, indigo urgent care looks to microsoft teams and microsoft s power platform to help deliver quality care and world class patient experience lnkd in eazwmub,negative,False
negative,sorta amusing how  nba2k has such self centered community managers that have built up such limited goodwill  that when they released a demo identical to 2k20  everyone was vocal about it being trash  nba2k21,positive,False
negative,plague of corruption is  1 on amazon and   3 on the ny times bestseller list  pic twitter com mr2gbn43i9,positive,False
negative, ghostrecon  ghostreconbreakpoint just took down a terminator pic twitter com qjrq9ic3be,positive,False
positive,it s great that big companies can t do everything    otherwise today we would have had yellow pages  yahoo   google wouldn t have been able to give us all the cool product thinking  the optimist in me says  zoom_us is a disrupter and there are many more    googlemeet  airmeet_com,negative,False
negative, pubg is no more available on android playstore and ios  pubg_banned,positive,False
positive, modernwarfare sd the best fps out  was in love with  rainbowsixsiege but the toxic community and random operator nerfs based on players  frustration levels  lost me   apexlegends is dope too tho   fortnite is cool  pubg made about 100 mil and only added new landing controls gg,negative,False
positive,    hilarious as fuck rolling_on_the_floor_laughing,negative,False
positive, rainbowsixsiege where are hereford  plane  chalet and fortress in casual   i miss the maps   ,negative,False
